station,latitude,longitude,state,variable,avg_value
2,4.733274,-74.266156,ACT,O3,5.520812379445096
2,4.733274,-74.266156,ACT,PM10,29.383785621021023
2,4.733274,-74.266156,ACT,PM2,18.04575258603541
2,4.733274,-74.266156,ACT,RAIN,0.08779950029815146
2,4.733274,-74.266156,ACT,RH,72.01342822898033
2,4.733274,-74.266156,ACT,So2,3.9372588329888387
2,4.733274,-74.266156,ACT,WDD,187.13464504273503
2,4.733274,-74.266156,ACT,WDS,3.0386029037964617
3,4.584585267,-74.21987793,ACT,PM10,62.44137818492633
3,4.584585267,-74.21987793,ACT,PM2,25.957299741880664
3,4.584585267,-74.21987793,ACT,RAIN,0.0812903597972973
3,4.584585267,-74.21987793,ACT,RH,66.48471975225225
3,4.584585267,-74.21987793,ACT,So2,3.9853365152445717
3,4.584585267,-74.21987793,ACT,Temp,15.401044155968469
3,4.584585267,-74.21987793,ACT,WDD,199.54929534534534
3,4.584585267,-74.21987793,ACT,WDS,2.1479099239864867
4,4.596229,-74.194715,ACT,PM10,64.06225068018233
4,4.596229,-74.194715,ACT,PM2,20.76924338666347
4,4.596229,-74.194715,ACT,RAIN,0.0915505712460064
4,4.596229,-74.194715,ACT,RH,64.90481211501597
4,4.596229,-74.194715,ACT,So2,36.88925955254332
4,4.596229,-74.194715,ACT,Temp,16.578141407667733
4,4.596229,-74.194715,ACT,WDD,81.63846810937875
4,4.596229,-74.194715,ACT,WDS,2.2305401463258785
5,4.525166711,-74.2435349,ACT,PM10,35.631768953068594
5,4.525166711,-74.2435349,ACT,RAIN,0.6699472759226713
5,4.525166711,-74.2435349,ACT,RH,77.31320601825843
5,4.525166711,-74.2435349,ACT,So2,9.276388978092196
5,4.525166711,-74.2435349,ACT,WDD,181.67634195189606
5,4.525166711,-74.2435349,ACT,WDS,5.897884112008427
7,4.719539118,-73.96873782,ACT,O3,32.582481253192846
7,4.719539118,-73.96873782,ACT,PM10,17.86671288878049
7,4.719539118,-73.96873782,ACT,PM2,11.856707926823358
7,4.719539118,-73.96873782,ACT,RAIN,0.12305375246872942
7,4.719539118,-73.96873782,ACT,RH,73.77194637261357
7,4.719539118,-73.96873782,ACT,So2,16.552121835584263
