IDExpediente,Estado,Regional,Departamento,Municipio,Vereda,Class,TipoCombustible,TipoFuenteEmision,Cuenca,latitude,longitude,color
73640.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,MOSQUERA,CENTRO,,Otros,Horno,Río Bogotá,4.703417522164974,-74.22656074120917,green
73788.0,Seguimiento y Control,Ubate,Cundinamarca,LENGUAZAQUE,Resguardo,,Carbón,Caldera Horno,Río Suárez,5.318407377599899,-73.70428142050933,green
74314.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,MADRID,LA PUNTA,,ACPM,Caldera Horno,Río Bogotá,4.800461743437419,-74.21035542351376,green
75972.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,MOSQUERA,Balsillas,,Fuel Oil No.8,Planta de Asfalto,Río Bogotá,4.678796745272664,-74.28411217939394,green
78824.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,FUNZA,El Hato,,Carbón,Caldera Horno,Río Bogotá,4.699589511070331,-74.19375177162796,green
79754.0,Seguimiento y Control,Ubate,Cundinamarca,TAUSA,Rasgatá,,Carbón,Horno,Río Suárez,5.186499421111086,-73.88197627029925,green
80558.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,FUNZA,La isla,,Coque,Caldera,Río Bogotá,4.744925265784511,-74.17508267728543,green
83236.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COTA,Vuelta Grande,,Carbón,Caldera,Río Bogotá,4.756802846772209,-74.14035346537922,green
88514.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,MOSQUERA,Balsillas,,ACPM,Secadores,Río Bogotá,4.68744271057875,-74.28129363469138,green
89878.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,MOSQUERA,Balsillas,,ACPM,Planta de Asfalto,Río Bogotá,4.680198773239136,-74.28289584257708,green
93120.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,MOSQUERA,Balsillas,,Fuel Oil No.8,Planta de Asfalto,Río Bogotá,4.685590329529632,-74.27629087264197,green
102214.0,Seguimiento y Control,Sabana Centro,Cundinamarca,TENJO,La Punta,,NoAplica,NoAplica (área de operación),Río Bogotá,4.781656397575474,-74.18674334861848,green
104014.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,MOSQUERA,Balsillas,,ACPM,Caldera,Río Bogotá,4.668429690322708,-74.26523633666623,green
109430.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,MADRID,CASCO URBANO,,Madera,Caldera,Río Bogotá,4.73061248602139,-74.25431946798817,green
117700.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,MOSQUERA,Balsillas,,Fuel Oil No.8,PLANTA DE ASFALTO ADM,Río Bogotá,4.677815636514173,-74.2679517245167,green
119814.0,Seguimiento y Control,Ubate,Cundinamarca,TAUSA,Rasgatá,,Carbón,Caldera Horno,Río Suárez,5.189139417876079,-73.88027071141002,green
120014.0,Seguimiento y Control,Ubate,Cundinamarca,TAUSA,Rasgatá,,Carbón,Horno,Río Suárez,5.188686408335298,-73.8775198087606,green
121606.0,Seguimiento y Control,Ubate,Cundinamarca,GUACHETA,Cabrera,,Carbón,Caldera Horno,Río Suárez,5.404332484014891,-73.67784659358865,green
123330.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,EL OLIVO,,Carbón,Horno,Río Bogotá,5.072532666468105,-73.96173186680015,green
124002.0,Seguimiento y Control,Soacha,Cundinamarca,SIBATE,Chacua,,Otros,REACTOR,(sin definir),4.546549553646994,-74.24650790833029,green
